2009-01-29 19:28:58 Notice: Notice (8): Undefined index:  email in [APP/models/user.php, line 20]
2009-01-29 19:29:40 Notice: Notice (8): Undefined index:  email in [APP/models/user.php, line 20]
2009-01-29 19:30:00 Notice: Notice (8): Undefined index:  email in [APP/models/user.php, line 20]
2009-01-29 19:30:37 Notice: Notice (8): Undefined index:  email in [APP/models/user.php, line 20]
2009-01-29 19:40:24 Notice: Notice (8): Undefined index:  username in [CORE/cake/libs/controller/components/auth.php, line 307]
2009-01-29 19:57:11 Notice: Notice (8): Undefined index:  username in [CORE/cake/libs/controller/components/auth.php, line 307]
2009-01-29 19:57:49 Notice: Notice (8): Undefined index:  username in [CORE/cake/libs/controller/components/auth.php, line 307]
2009-01-29 19:58:07 Notice: Notice (8): Undefined index:  username in [CORE/cake/libs/controller/components/auth.php, line 307]
2009-01-29 19:59:04 Notice: Notice (8): Undefined index:  username in [CORE/cake/libs/controller/components/auth.php, line 307]
2009-01-29 20:00:47 Notice: Notice (8): Undefined index:  username in [CORE/cake/libs/controller/components/auth.php, line 307]
2009-01-29 20:02:54 Notice: Notice (8): Undefined index:  username in [CORE/cake/libs/controller/components/auth.php, line 307]
2009-01-29 21:29:26 Notice: Notice (8): Undefined property: CandidatesController::$User in [APP/controllers/candidates_controller.php, line 20]
2009-01-29 21:34:26 Notice: Notice (8): Undefined property: CandidatesController::$User in [APP/controllers/candidates_controller.php, line 20]
2009-01-29 21:40:28 Notice: Notice (8): Undefined variable: data in [APP/controllers/candidates_controller.php, line 18]
2009-01-29 22:08:22 Notice: Notice (8): Undefined variable: user in [APP/controllers/candidates_controller.php, line 13]
2009-01-29 22:10:13 Notice: Notice (8): Undefined index:  email in [APP/models/candidate.php, line 18]
2009-01-29 22:11:06 Notice: Notice (8): Undefined index:  email in [APP/models/candidate.php, line 19]
2009-01-29 22:40:56 Notice: Notice (8): Undefined property: ProfilesController::$Candidates in [APP/controllers/profiles_controller.php, line 10]
